Feature,Importance
Session_Quality_Score,0.45884521164477465
Page_Value_Per_Product,0.06272034670685735
Month_Nov,0.0481779232051496
Month_Numeric,0.04505166394161232
Product_Admin_Ratio,0.04067392441710379
PageValues_sqrt,0.033324806918554904
PageValues_cubed,0.030850126580006864
PageValues_squared,0.030301006761668782
PageValues_log,0.029126541704694142
ExitRates_sqrt,0.025699581787220656
PageValues,0.023845635397016146
ExitRates,0.016863022742728596
ExitRates_log,0.016433878542046254
Total_Duration,0.01471073618830881
ExitRates_squared,0.01455654116946562
